pMines1,p0,p1,i,j,deg,enh
0.9997377,0.00028714538,0.0017356575,DB00158,DB00379,0.9980024977629621,4.5526296225008437e-07
0.99959683,0.0006085932,0.0042251647,DB00197,DB00379,0.9953733687596521,1.7034596520990347e-06
0.9994565,5.3942204e-05,0.0019750893,DB00273,DB00379,0.9974824841610345,1.0734610345500592e-06
0.9972811,0.0006452501,0.0022293031,DB00277,DB00375,0.9950578581521986,6.061252198589929e-06
0.9993773,0.00032037497,0.0001425147,DB00277,DB01046,0.9992348740439037,8.874390368999658e-08
0.9912213,0.0051884055,0.0011220872,DB00277,DB01053,0.9901090632669026,9.850466902640032e-06
0.9953561,0.03251615,0.00015881658,DB00279,DB01046,0.9951980209483158,7.375283158620055e-07
0.99954635,7.137656e-05,0.008461148,DB00301,DB00379,0.9910890403997903,3.838399790199764e-06
0.9998109,9.998679e-05,0.00065132976,DB00304,DB00379,0.9991596934064575,1.231664576160346e-07
0.99940073,0.0014931858,3.7699938e-05,DB00338,DB01046,0.9993630526544418,2.259244184526153e-08
0.99640375,0.0030284226,0.0046503544,DB00338,DB01082,0.9917701194370111,1.672383701099985e-05
0.9998131,0.00023236871,0.0017317533,DB00375,DB00379,0.9980816703646918,3.2366469176998243e-07
0.9987079,0.0015579462,0.0015938282,DB00375,DB00446,0.9971161311854172,2.0593854172200287e-06
0.9981154,0.0116657615,0.0072471797,DB00375,DB00549,0.9908818783348626,1.3658034862620102e-05
0.9990847,0.0016404986,0.0058372915,DB00375,DB00607,0.99325275137291,5.342872909949721e-06
0.99704075,0.00055089593,0.0067947805,DB00375,DB01083,0.9902660769541947,2.0107454194624787e-05
0.99999374,1.3977289e-05,0.0036527812,DB00379,DB00446,0.9963409816664103,2.2866410312130337e-08
0.9916645,0.0024853647,0.00014284253,DB00379,DB00485,0.9915228481339088,1.1906639088150073e-06
0.9982346,0.0043092966,0.0007248819,DB00379,DB00603,0.9975109978065062,1.2797065062600204e-06
0.998059,0.0009862483,0.002396375,DB00379,DB00658,0.995667276363875,4.651363874999929e-06
0.99386156,0.0030552745,7.086992e-05,DB00379,DB00717,0.9937911251107517,4.3503075172479765e-07
0.9954946,0.0042228997,0.00206393,DB00379,DB00798,0.993439968830222,9.298830221999985e-06
0.9936983,0.0006018877,0.0024348497,DB00379,DB00808,0.9912787939923545,1.5343692354489917e-05
0.9993876,0.0006814301,1.5079975e-05,DB00379,DB01046,0.9993725292599767,9.234976689999357e-09
0.9949494,0.003382504,0.00018295646,DB00379,DB01053,0.9947673675798968,9.240398968760029e-07
0.99271977,0.0053811073,0.0006970763,DB00379,DB01112,0.9920277685757916,5.074875791549e-06
0.99882776,0.000862509,0.0041271746,DB00379,DB01140,0.994705423439153,4.838039153104193e-06
0.99881876,0.0027923882,0.0015988648,DB00379,DB01172,0.9972217838430564,1.8886430563519557e-06
0.9969378,0.009204477,0.0031335056,DB00379,DB01177,0.9938138898208483,9.595420848320047e-06
0.9994737,0.0012206733,0.0049678683,DB00379,DB01592,0.9945084462890863,2.6145890862898986e-06
0.99939233,0.0001014173,0.0025751889,DB00379,DB06698,0.996818705965039,1.5648650388628687e-06
0.99791574,0.00059843063,0.007896006,DB00445,DB00745,0.9900361913294656,1.64573294655596e-05
0.9976344,0.0024976432,0.00010794401,DB00446,DB00485,0.99752671134235,2.553523500559965e-07
0.9965487,0.0045204163,0.00070625544,DB00446,DB00603,0.9958448820594,2.4374994000720324e-06
0.99882495,0.00085139275,0.0022127032,DB00446,DB00658,0.9966148468368952,2.600036895159901e-06
0.992616,0.003882885,0.002224356,DB00446,DB00755,0.990408068644704,1.642464470399988e-05
0.9993428,0.00044873357,1.8954277e-05,DB00446,DB01046,0.9993238581797508,1.2456750844400463e-08
0.99692696,0.0035717785,0.00010162592,DB00446,DB01053,0.9968256463805173,3.123005171967971e-07
0.9993609,0.0002590716,0.0043075085,DB00446,DB01082,0.9950561444286824,2.7529286823500156e-06
0.9926138,0.005221039,0.00027278066,DB00446,DB01112,0.9923430341525109,2.0148125108920024e-06
0.9994265,0.0035088956,0.0044653416,DB00446,DB01172,0.9949637192734075,2.56087340760002e-06
0.9947006,0.005178869,0.001671046,DB00446,DB01177,0.9930384095411724,8.855541172399923e-06
0.999523,0.030381233,0.0026978254,DB00446,DB01205,0.9968264614627159,1.2868627157998643e-06
0.9982166,0.0196836,0.006302893,DB00549,DB00603,0.9919249475793762,1.124057937619994e-05
0.9947183,0.030224413,0.0005875528,DB00549,DB00717,0.9941338504776238,3.1032776237599675e-06
0.99911046,0.008842707,0.00027379394,DB00549,DB01046,0.9988369096106614,2.4355066138759084e-07
0.9997913,0.0009872317,0.00024449825,DB00607,DB01046,0.9995468527767849,5.102678477498791e-08
0.9981656,0.005138308,0.0011568964,DB00607,DB01053,0.9970108258107561,2.122210756160016e-06
0.9913869,0.00052684546,0.00069481134,DB00607,DB03783,0.9906980731395525,5.984479552554028e-06
0.9996249,0.0012351573,6.6787004e-05,DB00648,DB01046,0.9995581380478052,2.5051805200397433e-08
0.9961772,0.02096191,0.0010607839,DB00648,DB01053,0.9951204712646929,4.055164692920016e-06
0.9993795,0.00090941787,0.0054326057,DB00648,DB01082,0.9939502652318368,3.3709318368501293e-06
0.99346447,0.0379712,0.0033973157,DB00648,DB01112,0.9900893575586769,2.220325867682085e-05
0.99947876,0.0055094957,0.006517023,DB00648,DB01172,0.9929651339330685,3.3969330685198594e-06
0.9950789,0.00023016334,0.0017561018,DB00658,DB00745,0.993331440152568,8.64195256798002e-06
0.993133,0.013054818,0.0002540052,DB00736,DB01046,0.9928807390537084,1.7442537083999888e-06
0.9961121,0.00036212802,0.004558325,DB00745,DB00798,0.9915714973117675,1.772231176750025e-05
0.99722254,6.5237284e-05,6.520748e-05,DB00745,DB01046,0.9971575136311673,1.811111674008006e-07
0.99411786,9.23574e-05,0.0040079057,DB00745,DB01048,0.9901335293624343,2.3575062434197918e-05
0.99653363,3.0517578e-05,0.004719734,DB00745,DB06698,0.9918302563443455,1.6360344345580244e-05
0.993796,0.017309636,0.0005414784,DB00822,DB01046,0.9932578809319936,3.359331993599993e-06
0.9987143,0.00076678395,9.7543e-05,DB01046,DB01083,0.9986168824110352,1.2541103509999465e-07
0.99777436,0.006189406,0.0001501143,DB01046,DB01095,0.9976245798003907,3.341003906520043e-07
0.99896574,0.00088238716,0.00060099363,DB01046,DB01377,0.9983653679536718,6.21583671763772e-07
0.9936209,0.0028549135,0.00034469366,DB01053,DB01083,0.9932784051753265,2.19883532650599e-06
0.9908096,0.0001938641,0.00080934167,DB01083,DB01217,0.9900076965036839,7.438173683968035e-06
0.9956089,8.0794096e-05,0.00088343024,DB01083,DB03783,0.9947293489905269,3.879230526863983e-06
0.9941713,2.4437904e-05,0.001740098,DB01377,DB03783,0.9924413445092126,1.0142509212600035e-05
