0,1,2
DB00115,2,0
DB00130,1,0
DB00136,18,2
DB00153,3,1
DB00158,27,0
DB00162,2,1
DB00163,1,14
DB00165,1,1
DB00177,67,82
DB00178,8,106
DB00180,6,57
DB00181,0,117
DB00182,42,44
DB00184,53,18
DB00185,6,16
DB00186,6,118
DB00190,1,0
DB00191,41,40
DB00197,42,10
DB00198,0,1
DB00202,4,36
DB00204,12,75
DB00209,9,46
DB00210,36,61
DB00211,4,35
DB00213,69,34
DB00214,54,126
DB00216,23,81
DB00218,9,106
DB00229,0,1
DB00230,4,138
DB00231,19,118
DB00234,3,32
DB00235,0,18
DB00241,0,118
DB00242,1,4
DB00244,50,79
DB00245,17,45
DB00248,12,61
DB00251,5,20
DB00255,12,75
DB00259,0,2
DB00261,4,73
DB00262,4,4
DB00271,0,1
DB00273,41,145
DB00274,0,1
DB00275,1,95
DB00277,96,16
DB00278,17,46
DB00279,32,3
DB00284,30,23
DB00291,1,3
DB00292,2,123
DB00294,20,1
DB00296,10,116
DB00297,14,124
DB00300,67,33
DB00301,9,2
DB00302,0,1
DB00303,1,1
DB00304,17,0
DB00305,1,32
DB00309,4,5
DB00310,43,141
DB00313,61,112
DB00315,8,41
DB00319,8,3
DB00323,5,121
DB00324,7,57
DB00327,15,156
DB00331,31,35
DB00332,14,46
DB00338,103,36
DB00339,6,1
DB00341,6,117
DB00346,5,82
DB00350,1,66
DB00351,18,30
DB00352,5,3
DB00356,11,116
DB00358,48,75
DB00360,0,3
DB00361,5,34
DB00362,5,20
DB00363,78,218
DB00364,17,0
DB00366,6,121
DB00367,17,1
DB00368,9,41
DB00369,1,0
DB00371,11,141
DB00373,48,129
DB00374,7,106
DB00375,59,0
DB00376,8,45
DB00377,9,26
DB00379,71,6
DB00380,1,2
DB00381,4,109
DB00384,29,66
DB00387,8,45
DB00388,4,25
DB00389,0,4
DB00391,30,144
DB00393,14,88
DB00394,4,56
DB00395,6,117
DB00399,5,26
DB00401,5,105
DB00402,13,118
DB00408,5,135
DB00413,1,113
DB00417,8,1
DB00419,30,6
DB00421,26,91
DB00422,42,33
DB00423,1,117
DB00424,9,45
DB00425,17,127
DB00426,3,1
DB00427,6,117
DB00433,12,147
DB00434,8,119
DB00435,3,9
DB00436,43,145
DB00437,1,20
DB00438,1,1
DB00439,12,54
DB00442,0,1
DB00445,35,23
DB00446,64,4
DB00450,5,170
DB00451,41,4
DB00454,15,180
DB00455,20,141
DB00460,1,2
DB00461,38,66
DB00465,36,63
DB00470,8,177
DB00471,10,1
DB00475,8,118
DB00479,36,20
DB00481,5,1
DB00485,10,1
DB00489,44,129
DB00490,14,160
DB00491,30,23
DB00492,9,106
DB00493,0,1
DB00494,5,121
DB00497,10,156
DB00499,13,3
DB00512,1,37
DB00513,0,1
DB00514,20,74
DB00518,8,31
DB00519,8,106
DB00521,46,108
DB00523,5,53
DB00524,43,141
DB00526,6,5
DB00528,4,67
DB00529,0,36
DB00530,24,53
DB00531,22,109
DB00533,45,54
DB00535,1,0
DB00539,10,109
DB00542,8,106
DB00543,1,150
DB00545,22,25
DB00547,4,56
DB00548,1,1
DB00549,77,5
DB00550,0,6
DB00552,2,4
DB00555,9,164
DB00556,0,56
DB00557,6,132
DB00565,4,12
DB00567,6,3
DB00568,20,17
DB00572,8,50
DB00575,13,190
DB00577,1,2
DB00580,40,55
DB00581,1,0
DB00590,12,100
DB00591,4,56
DB00593,14,117
DB00599,7,172
DB00601,0,60
DB00603,23,2
DB00604,21,77
DB00605,37,62
DB00607,167,15
DB00611,12,145
DB00612,47,111
DB00621,0,23
DB00623,7,166
DB00624,15,46
DB00627,17,3
DB00628,9,118
DB00630,5,32
DB00631,1,2
DB00633,4,163
DB00640,3,1
DB00642,1,3
DB00643,5,31
DB00647,7,154
DB00648,195,0
DB00649,0,3
DB00651,35,15
DB00652,12,145
DB00654,1,51
DB00656,28,147
DB00658,8,0
DB00660,0,117
DB00668,26,40
DB00669,5,68
DB00670,11,46
DB00671,0,1
DB00672,41,67
DB00674,26,58
DB00679,46,198
DB00681,11,42
DB00684,36,20
DB00687,18,46
DB00690,7,142
DB00695,38,99
DB00697,4,179
DB00698,1,4
DB00699,3,0
DB00700,29,67
DB00704,14,25
DB00708,7,168
DB00709,4,56
DB00710,5,48
DB00712,42,59
DB00713,8,1
DB00714,7,32
DB00717,48,1
DB00718,1,0
DB00720,5,33
DB00724,7,2
DB00727,1,54
DB00731,41,34
DB00732,12,90
DB00736,71,6
DB00737,6,117
DB00738,20,103
DB00740,6,0
DB00742,4,115
DB00744,46,62
DB00745,206,2
DB00746,0,1
DB00747,8,166
DB00749,42,64
DB00751,19,77
DB00753,3,139
DB00755,15,6
DB00757,10,77
DB00758,77,59
DB00761,0,20
DB00763,0,9
DB00770,23,18
DB00775,0,18
DB00776,6,9
DB00778,3,1
DB00780,10,131
DB00781,0,4
DB00783,43,73
DB00784,46,59
DB00795,37,51
DB00796,5,119
DB00798,36,20
DB00799,5,0
DB00802,7,177
DB00804,8,45
DB00806,1,63
DB00808,46,160
DB00809,8,45
DB00810,8,76
DB00811,0,7
DB00813,7,181
DB00816,8,35
DB00818,18,126
DB00819,9,71
DB00820,3,51
DB00822,26,8
DB00829,23,141
DB00831,7,154
DB00833,0,1
DB00841,10,35
DB00842,6,118
DB00843,32,38
DB00844,12,145
DB00850,27,145
DB00851,6,3
DB00852,5,25
DB00853,2,4
DB00859,2,0
DB00861,36,67
DB00862,3,74
DB00869,9,50
DB00871,8,57
DB00879,0,2
DB00880,43,141
DB00882,4,53
DB00883,3,54
DB00884,6,41
DB00887,46,105
DB00889,4,76
DB00900,15,2
DB00906,6,118
DB00909,6,119
DB00915,0,51
DB00917,28,0
DB00918,26,40
DB00920,6,0
DB00921,14,184
DB00927,17,27
DB00928,1,3
DB00934,4,171
DB00935,2,25
DB00938,12,39
DB00943,12,2
DB00947,4,2
DB00949,10,133
DB00952,5,41
DB00953,8,41
DB00958,1,11
DB00960,46,108
DB00961,0,125
DB00962,7,118
DB00966,1,120
DB00967,14,167
DB00968,4,75
DB00969,12,1
DB00973,5,55
DB00977,28,73
DB00979,8,45
DB00980,12,118
DB00983,23,43
DB00985,6,117
DB00986,9,47
DB00987,5,5
DB00988,16,23
DB00989,20,39
DB00990,8,2
DB00991,42,59
DB00993,5,8
DB00996,4,132
DB00998,8,41
DB00999,43,141
DB01001,9,38
DB01002,6,118
DB01005,1,6
DB01006,5,2
DB01007,5,22
DB01008,4,14
DB01009,38,48
DB01013,4,56
DB01014,40,61
DB01016,43,67
DB01018,13,182
DB01019,0,15
DB01020,3,54
DB01021,43,123
DB01022,1,1
DB01024,58,58
DB01029,77,83
DB01030,6,62
DB01032,9,93
DB01033,5,5
DB01036,22,69
DB01037,30,150
DB01039,5,9
DB01041,16,124
DB01042,1,4
DB01043,23,31
DB01044,9,50
DB01046,25,0
DB01047,4,56
DB01048,8,1
DB01053,8,1
DB01054,5,91
DB01059,10,72
DB01060,15,2
DB01062,11,48
DB01065,12,109
DB01067,41,45
DB01068,9,118
DB01069,9,178
DB01071,6,26
DB01073,1,4
DB01077,5,32
DB01079,2,1
DB01080,3,117
DB01081,4,153
DB01082,36,20
DB01083,31,0
DB01085,5,16
DB01095,76,11
DB01099,5,23
DB01100,11,213
DB01105,3,1
DB01106,6,117
DB01112,3,1
DB01114,9,109
DB01117,1,6
DB01120,42,45
DB01126,3,1
DB01127,5,20
DB01128,3,9
DB01129,56,9
DB01132,69,29
DB01140,0,1
DB01141,7,20
DB01143,0,42
DB01147,8,1
DB01155,10,104
DB01156,92,25
DB01162,2,89
DB01165,9,105
DB01166,7,59
DB01168,1,47
DB01171,63,121
DB01172,36,20
DB01173,11,143
DB01175,13,187
DB01176,6,117
DB01177,42,24
DB01181,21,6
DB01182,6,99
DB01183,11,54
DB01184,14,108
DB01186,10,11
DB01188,5,20
DB01189,0,139
DB01190,3,5
DB01192,10,156
DB01193,39,158
DB01194,4,5
DB01195,1,59
DB01196,4,32
DB01198,15,119
DB01202,7,150
DB01203,48,143
DB01205,8,1
DB01206,2,5
DB01210,26,77
DB01212,0,1
DB01215,9,118
DB01216,2,1
DB01217,4,1
DB01219,3,118
DB01221,12,142
DB01223,46,16
DB01224,31,230
DB01233,2,59
DB01235,7,162
DB01236,5,157
DB01238,50,202
DB01239,5,158
DB01240,28,65
DB01244,4,91
DB01249,0,1
DB01250,40,61
DB01251,32,21
DB01252,30,6
DB01256,3,1
DB01259,31,46
DB01261,39,73
DB01262,1,3
DB01267,23,175
DB01273,0,23
DB01274,23,37
DB01275,26,70
DB01280,2,3
DB01288,8,35
DB01291,9,16
DB01296,9,14
DB01327,0,1
DB01331,0,1
DB01337,12,60
DB01362,0,1
DB01364,0,23
DB01366,8,35
DB01367,12,130
DB01377,48,24
DB01380,22,57
DB01393,5,14
DB01394,10,84
DB01396,90,76
DB01399,36,61
DB01400,20,52
DB01406,16,6
DB01407,11,35
DB01410,6,57
DB01416,3,0
DB01427,1,16
DB01436,0,1
DB01438,0,1
DB01440,0,117
DB01452,4,153
DB01454,40,18
DB01544,19,118
DB01545,0,117
DB01551,10,152
DB01558,13,118
DB01559,10,2
DB01563,0,118
DB01576,42,25
DB01577,43,46
DB01586,7,0
DB01588,6,118
DB01589,12,135
DB01590,18,60
DB01592,10,4
DB01595,9,142
DB01598,1,1
DB01600,36,62
DB01607,8,1
DB01608,5,30
DB01611,10,8
DB01620,6,0
DB01623,8,150
DB01628,43,56
DB01708,5,47
DB02300,1,1
DB02546,17,26
DB02665,10,186
DB02701,0,3
DB02703,0,187
DB02925,23,55
DB03783,18,1
DB04165,3,0
DB04339,0,8
DB04540,0,25
DB04574,22,1
DB04743,36,88
DB04817,32,88
DB04835,3,1
DB04844,0,159
DB04845,4,4
DB04861,18,78
DB04876,35,17
DB04878,30,6
DB05109,18,6
DB05265,6,6
DB05266,0,18
DB05271,7,114
DB06148,52,29
DB06262,10,31
DB06288,6,135
DB06694,4,66
DB06698,36,5
DB06700,24,159
DB06701,2,13
DB06710,5,26
DB06712,6,67
DB06777,9,1
DB06781,4,56
DB06802,36,61
DB07615,42,88
DB08801,6,0
